Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B01029,ZION CAR SERVICE INC.,,2019,7,July,184,0,4
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,,2016,12,December,"8,831",0,55
B02794,ASAP LUXE INC,,2021,4,April,"35,062",0,148
B01066,DOMINICANA RAD DISP INC,,2021,4,April,231,0,5
B03080,AMBAR TRANSPORTATION INC.,,2019,4,April,"3,939",0,57
B02860,EVERY WHERE LIMO SERVICE INC.,,2018,3,March,98,0,13
B00619,"HOLA CAR SERVICE,INC.",,2016,3,March,664,0,6
B02101,EXEC TRANSPORT INC,EAST COAST WORLDWIDE LIMOUSINE,2016,6,June,"8,975",0,186
B01338,3210 WEBSTER AV PRESTIGE C/S,,2020,9,September,"6,046",0,51
B01527,NEW FAMILY RAD DISP INC,,2018,1,January,"6,917",0,66
B01343,ALL PEOPLE CAR SERVICE INC.,,2019,8,August,845,0,6
B00412,NYC 2 WAY INTERNATIONAL LTD,NYC TWO WAY INC.,2021,4,April,"5,574",0,76
B02408,"PETER EXECUTIVE LIMOUSINE, CORP",,2018,4,April,104,0,6
B00290,ZPI CORPORATION,NATIONAL HIGH CLASS,2016,5,May,"4,061",0,29
B02634,VETERANS RADIO DISPATCHER CORP.,,2020,5,May,"3,704",0,23
B03016,BEST DEAL BLACK INC.,,2018,9,September,"5,923",365,37
B00811,LLAMA LIMO C/S CORP,METROGREEN CAR SERVICE,2018,2,February,"1,978",0,46
B01843,"VINCENT'S LIMOUSINE SERVICE OF NEW YORK, INC.",VINCENT LIMOUSINE,2021,5,May,699,0,16
B02539,HAWK CAR AND LIMO SERVICE,JRIDE,2017,7,July,780,0,5
B03174,NEW HEAVEN LUXURY INC,,2019,5,May,41,0,2
B01051,B Q N C/S CORP,,2017,8,August,"41,991",0,291
B01846,ROMANTIQUE LIMOUSINE INC.,,2021,5,May,59,0,9
B00387,FORTUNE LIMOUSINES INC,,2017,4,April,401,0,8
B03048,ATLANTIS TRANSPORTATION SERVICES INC,,2017,8,August,"1,106",0,9
B00401,TREMONT DISPATCHING CORP,,2020,11,November,546,0,3
VIA,VIA,VIA,2020,10,October,"147,554",0,"3,013"
B01129,GTWY INC,GATEWAY CAR & LIMO SVCE,2019,6,June,"3,995",0,15
B01730,LUCKY EXPRESS CORPORATION,GOOD LUCK CAR SVCE,2017,6,June,"13,191",0,140
B01391,ROSE 'N' DALE C/S INC,,2018,7,July,"1,727",0,10
B02468,GROUNDLINK HOLDINGS LLC,GROUNDLINK YOUR'E GOOD TO GO,2017,5,May,942,0,46
B02641,AVENUE X CAR SERVICE INC.,PRESTIGE CAR SERVICE,2018,2,February,"2,258",0,13
B02634,VETERANS RADIO DISPATCHER CORP.,,2015,9,September,"36,839",0,195
B02401,NORTHSIDE BK LLC,,2016,8,August,"5,633",0,109
B02101,EXEC TRANSPORT INC,EAST COAST WORLDWIDE LIMOUSINE,2017,9,September,"4,663",0,101
B03140,RISE AND SHINE TRANSPORTATION INC.,,2021,9,September,88,0,1
B01468,MEGA RADIO DISPATCHER INC,,2015,10,October,"31,646",0,186
B02157,REAGAN CONVEYANCE  CORP.,DELUX TRANSPORTATION SERVICES,2017,1,January,"5,362",0,154
B00296,PRIME TIME TRANS. INC,,2017,10,October,"1,506",0,39
B00235,"ARISTACAR & LIMOUSINE, LTD.",,2019,10,October,660,0,18
B02099,SUNNY'S LIMOUSINE SERVICE INC,SSS LIMO SERVICE,2017,2,February,"1,827",0,58
B02406,MY SEDAN LLC,,2016,11,November,"1,390",0,25
B00151,KINGSBAY CAR SERVICE INC,,2019,3,March,9,0,8
B02627,A PEGASUS LIMOUSINE CORP.,APL LIMO,2016,6,June,192,0,10
B01239,BEST DEAL PVT C/S INC,BEST DEAL DOMINICAN C/S INC,2015,12,December,"24,938",0,147
B00477,INTA-BORO ACRES INC,,2016,8,August,"9,566",0,172
B00296,PRIME TIME TRANS. INC,,2015,9,September,"1,554",0,56
B01768,NEW SUPERIOR RADIO GRP CORP,,2020,6,June,"1,510",0,14
B01282,NEW LOTS C/S INC,,2021,4,April,"3,917",0,21
B01854,EUROPE LIMOUSINE SERVICE INC,,2021,9,September,"1,406",0,121
B02794,ASAP LUXE INC,,2020,3,March,"15,062",0,114
B00290,ZPI CORPORATION,NATIONAL HIGH CLASS,2017,8,August,"1,548",0,14
B03199,RINCON TRANSPORTATION LLC,,2020,2,February,591,0,7
B02107,APOLLO RADIO DISPATCH INC.,,2018,9,September,"5,917",26,52
B01146,CHURCH AVE C/S INC,,2020,1,January,"8,913",0,37
B01779,APEX CAR & LIMO SVCE INC,,2018,4,April,389,0,21
B01432,TOVAR TRANSPORTATION INC,,2016,12,December,"5,961",0,29
B02934,JUN'S LIMOUSINE AND CAR SERVICE LLC,,2020,5,May,122,0,2
B02996,FOREVER BLUE CAR SERVICE INC.,,2018,5,May,"1,501",0,20
B00310,WATSON CAR SERVICE INC.,,2021,7,July,"25,140",0,122
B01529,J.I.G. TRANSPORT CORP.,ECKFORD CAR SERVICE,2020,4,April,335,0,5
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2017,11,November,143,0,15
B01381,CLASSIC CAR SERVICE CORP.,PAISA CLASSIC,2017,12,December,"2,851",0,33
B00821,ATLANTIC CAR SVCE,,2021,4,April,"15,531",0,89
B02550,AGAPE LUXURY CORP.,,2018,11,November,"19,141",6,172
B01642,VICTORY CAR & LIMO SERVICE INC.,,2016,7,July,"3,572",0,10
B01979,DREAMLAND CAR & LIMO.SVC INC.,,2017,12,December,"3,648",0,22
B02709,DASH CAR SERVICE CORP,,2019,6,June,981,0,3
b00965,BEN JEVO MGT. INC.,NEWPORT CAR SERVICE,2015,10,October,"4,986",0,40
B01741,MONACO LIMO & CAR SERVICES INC.,,2017,11,November,"2,066",0,16
B01779,APEX CAR & LIMO SVCE INC,,2020,5,May,149,0,8
B02855,JUNIORS LUXURY INC,MEGA JUNIORS,2020,9,September,"1,272",0,13
B03033,FLEX EXPRESS CORP.,,2020,8,August,"1,568",0,8
B02833,ADVANCED LUXURY LIMO SVC. INC.,,2017,11,November,820,0,11
b00965,BEN JEVO MGT. INC.,NEWPORT CAR SERVICE,2016,4,April,"9,527",0,57
B01424,EAGLE CAR & LIMO LTD.,,2018,5,May,180,0,4
B03220,PASEO TRANSPORTATION INC.,,2021,7,July,343,0,3
B02521,"PICTURE PROPERTIES, INC.",DEUCES TRANSPORT SERVICES,2017,10,October,"5,873",0,15
B00955,GOLDEN-TOWN CAR & LIMOUSINE SERVICE INC.,,2015,11,November,"2,909",0,45
B02339,SEDANZ INC.,,2020,12,December,135,0,8
B03290,VOCES TRANSPORTATION MANAGEMENT CORP,,2021,8,August,167,0,7
B01734,AMERICAN DREAM CAR SERVICE INC.,,2017,12,December,182,0,4
