Base Name,2015,2016,2017,2018,2019,2020,2021,Total
Mcw Car & Limo Inc.,1458,0,274,430,68,17,0,2247.0
Love Limousine Nyc Ltd,0,2187,0,0,0,0,0,2187.0
"Chauffeur Services, Inc.",1147,517,189,326,0,0,0,2179.0
Asiana Limousine Inc.,1397,141,167,237,190,44,0,2176.0
Big 'O' Limo Corp,0,0,0,0,1,1908,216,2125.0
Kidmoto Technologies Llc,0,0,0,0,1313,349,446,2108.0
Mahaica Express Service Inc.,711,345,854,47,0,0,0,1957.0
"Jc'S Transportation Network, Inc.",1934,0,0,0,0,0,0,1934.0
"Golden Age Transit,Llc",437,0,739,752,0,0,0,1928.0
Semperide Llc,303,338,315,435,227,122,173,1913.0
"East Hanover Auto Sales, Inc.",191,675,528,262,240,0,0,1896.0
Tiger Car Service Inc.,1333,515,0,0,0,0,0,1848.0
One Stop Ride Llc,0,0,0,0,1451,334,36,1821.0
"Scarsdale Trip Service, Inc.",0,0,1170,303,203,37,104,1817.0
Seaman Express Corp.,0,55,660,521,307,150,82,1775.0
A1 Accessible Transportation Llc,0,0,0,0,0,1047,719,1766.0
Paramount Transport Inc.,0,0,0,0,0,96,1666,1762.0
Blackbird Worldwide Corp.,0,1738,0,0,0,0,0,1738.0
Ground Jet Executive Transportation Llc,434,269,940,81,0,0,0,1724.0
Spoton.Pet Llc,0,0,0,116,305,1083,183,1687.0
Luigi Memo Inc.,473,114,371,314,299,61,0,1632.0
Port Richmond Black Car Inc.,0,0,0,0,0,0,1626,1626.0
Limolink Incorporated,0,0,0,0,0,0,1591,1591.0
"Expert Care Transportation, Inc.",0,0,0,0,615,974,0,1589.0
Marr Limo Llc,0,0,0,1116,334,129,0,1579.0
"Dispatch Central, Inc.",493,626,438,17,0,0,0,1574.0
Quality Executive Limousine L.L.C,478,279,217,287,260,43,0,1564.0
Mota Luxury Corp.,0,0,0,0,0,149,1328,1477.0
B-Quick Transportation Corp.,0,0,0,0,0,0,1474,1474.0
Simple Cars Llc.,0,0,0,0,1393,0,0,1393.0
7 Ways Transportation Corp.,0,0,0,0,0,33,1354,1387.0
Adara Nemt Corp,0,0,0,0,0,0,1345,1345.0
"Hy'S Livery Service,Inc.",0,800,474,55,0,0,0,1329.0
Immediate Luxury Car & Limo Service Inc.,373,391,397,105,54,0,0,1320.0
Leon Luxury Limo Inc,303,560,457,0,0,0,0,1320.0
A & A Amazoon Transportation Inc.,0,0,0,0,0,974,330,1304.0
Ocs Limo Corp.,636,472,146,0,0,0,0,1254.0
"N & T Double Diamond Limousines, Inc.",257,190,229,236,224,35,63,1234.0
La Mexicana Express 2 Inc.,0,0,0,0,0,1229,0,1229.0
Aaa Family Limousine Service Inc,1,115,262,287,345,116,88,1214.0
Voces Transportation Management Corp,0,0,0,0,0,0,1159,1159.0
Unicar Luxury Inc.,0,0,0,54,0,1104,0,1158.0
Greenlight Transportation Service,0,0,0,0,1,166,988,1155.0
"Crescent Luxury Cls, Inc.",0,0,0,0,0,25,1129,1154.0
Beni'S Limousine Service Inc,0,241,291,292,259,56,10,1149.0
Bangla Car & Limo. Service Inc.,808,337,0,0,0,0,0,1145.0
Mana Transportation Inc.,0,0,0,0,0,0,1139,1139.0
Mazal Limousine Service Inc,343,776,0,0,0,0,0,1119.0
Zapp Car Service Inc.,0,0,197,805,78,0,0,1080.0
"Perfect Limo Service, Inc.",634,86,172,95,75,12,0,1074.0
Usa Drivers Group Inc.,0,0,0,1040,0,0,0,1040.0
"Maru & Kitano, Inc.",0,1035,0,0,0,0,0,1035.0
Dahlia Transportation Corp.,0,0,0,0,0,0,1030,1030.0
"Dd&Son,Llc",0,0,0,0,0,488,498,986.0
Yerz Car Inc.,0,0,0,0,0,431,512,943.0
Safe Rides Car & Limo Services Inc,0,0,377,124,324,47,27,899.0
"Lan Tian Car Service, Inc",0,562,0,114,222,0,0,898.0
Abt Limousine Service Inc,0,0,223,260,412,0,0,895.0
Grand Prix Transportation Llc,0,0,289,553,0,0,0,842.0
"Jbe Limo, Inc",0,0,0,322,487,0,0,809.0
Mirae Calls Inc,610,197,0,0,0,0,0,807.0
Popular Transportation Corp.,0,0,0,0,0,0,756,756.0
Get Better Transportation Llc.,0,0,0,0,0,0,714,714.0
Vjvm Car Service Inc,0,0,0,0,0,0,695,695.0
Blade Urban Ground Mobility Llc.,0,0,0,0,0,129,559,688.0
Joe Pal Limousine Ltd,680,0,0,0,0,0,0,680.0
Cherry Transportation Ny Inc.,0,0,0,0,0,0,661,661.0
Guest Travel Service Inc.,0,0,0,0,13,217,425,655.0
"Transmedi, Llc",0,0,0,482,172,0,0,654.0
Show Limo Corp.,0,0,0,0,0,0,646,646.0
7 Star Car & Limousine Inc.,0,0,0,0,0,642,0,642.0
Blexcar Corp,0,0,601,0,0,0,0,601.0
Qudos Fleet New York 1 Llc,0,0,0,23,546,0,0,569.0
Tracy Luxury Corp.,0,0,0,0,0,0,550,550.0
"Iot Services, Llc",0,0,0,0,6,208,327,541.0
B.S.Z. Luxury Black Car Inc.,0,0,0,0,0,0,539,539.0
Nybc Luxury Limousine Llc.,0,0,0,0,525,0,0,525.0
Mgl Transport01Inc,0,0,0,522,0,0,0,522.0
Coop Car Care Inc,0,0,0,0,285,210,18,513.0
A & T Nyc Limo Llc,0,0,0,0,0,34,478,512.0
"Ta-Ta Transportation, Inc.",502,0,0,0,0,0,0,502.0
Ushls Corp,486,0,0,0,0,0,0,486.0
W.K.Express Limo Service Inc,0,125,105,128,92,0,34,484.0
Hampton'S Transportation Service Inc.,0,0,0,238,242,0,0,480.0
Tel Aviv Car & Limousine Service Inc.,0,0,0,0,0,441,0,441.0
Equaltrans Llc,0,0,0,271,123,0,0,394.0
Zip Connections Inc,0,0,0,0,0,0,393,393.0
Luxus Limo Llc,0,0,0,0,0,369,0,369.0
Federal Transit Ny Inc.,331,0,0,0,0,0,0,331.0
A & Z Luxury Limousine Transporation Inc.,0,0,0,0,0,0,322,322.0
Wtm 365 Inc.,0,0,0,0,0,0,295,295.0
Abi Group Luxury Inc.,0,0,0,0,0,0,278,278.0
Ceo Chauffeured Services Corp,0,0,0,0,0,0,263,263.0
"Federal Transit, Inc",240,0,0,0,0,0,0,240.0
Tempo Transportation Corp.,0,0,0,0,0,142,98,240.0
Prince Luxury Corp.,235,0,0,0,0,0,0,235.0
New Century Car Service Corp,0,0,0,0,0,0,233,233.0
Vz Travel Corp,0,228,0,0,0,0,0,228.0
Kayl Inc.,0,0,0,0,0,223,0,223.0
Malibu Car Service Inc.,0,0,0,0,1,167,49,217.0
Brighton Beach Car Service Inc.,82,130,0,0,0,0,0,212.0
Primary Transportation Corp,0,0,0,0,1,208,0,209.0
Bailey Radio Car & Limo. Corp.,187,0,0,0,0,0,0,187.0
Future Limo Vip Corp,114,70,0,0,0,0,0,184.0
Limo 4 Llc,176,8,0,0,0,0,0,184.0
Mgl Transport01 Inc,0,0,0,0,134,47,0,181.0
"Gravitas Primo,Llc",0,99,9,10,15,38,2,173.0
Ten I Con Corp.,163,0,0,0,0,0,0,163.0
Limo Tribe Inc,0,0,0,0,146,7,0,153.0
Ascent Limousine Inc.,136,0,0,0,0,0,0,136.0
Q Family Digital Dispatch Corp.,0,0,0,0,83,46,0,129.0
China Transit Llc.,0,0,0,99,0,0,26,125.0
Sin Fronteras Car Service Inc,0,0,0,42,76,0,0,118.0
Wiz Limo Transit Inc.,0,0,0,0,0,118,0,118.0
Cck Express Inc.,80,0,0,0,0,0,0,80.0
Kidault Kar Llc.,0,0,0,0,0,0,77,77.0
Level Limo Inc,74,0,0,0,0,0,0,74.0
Luxoride Inc,0,0,0,55,14,0,0,69.0
Assure Car Services Inc,0,0,0,0,64,0,0,64.0
Paisa Classic Black Inc.,0,0,0,0,52,12,0,64.0
Black Tie Transportation Inc,53,0,0,0,0,0,0,53.0
Murray Express Car Service Inc,0,0,53,0,0,0,0,53.0
America United Multiplex Car Service Corp.,0,52,0,0,0,0,0,52.0
Mbs Limos Ltd,0,0,0,0,0,0,41,41.0
Rolux Inc,0,0,0,0,0,40,0,40.0
Exit Luxury Inc.,0,0,0,0,39,0,0,39.0
Sai Executive Limo Corp,0,0,0,37,0,0,0,37.0
Andrea Car Svce Inc,34,0,0,0,0,0,0,34.0
Tapmapz Llc,0,0,0,0,0,0,28,28.0
Eager Limo Service Inc.,12,16,0,0,0,0,0,28.0
Hytch Holding Llc,0,0,0,19,1,0,0,20.0
Ride Solution Worldwide Inc,0,0,0,0,0,0,19,19.0
Guillen Transportation Services Inc,0,0,0,0,0,0,13,13.0
Compass Transportation Group Worldwide Inc,0,0,0,0,1,0,12,13.0
"Buraq-Ny, Llc",0,0,0,0,0,9,4,13.0
Balayira Llc,0,0,0,0,1,0,0,1.0
Sedwick Transportation Corp,0,0,0,0,1,0,0,1.0
Kairon Llc,0,0,0,0,1,0,0,1.0
Ny Merengue Transportation Inc,0,0,0,0,1,0,0,1.0
Spin Transportation Inc,0,0,0,0,1,0,0,1.0
Rrd Transportation Inc,0,0,0,0,1,0,0,1.0
Liquid Fox Transportation Corp.,0,0,0,0,1,0,0,1.0
Supraride Inc,0,0,0,0,1,0,0,1.0
Fvr Transportation Inc.,0,0,0,0,1,0,0,1.0
"The Best We Can Transportation, Inc.",0,0,0,0,1,0,0,1.0
Front Line Car & Limo Service Inc,0,0,0,0,1,0,0,1.0
Patron Car Service Inc,0,0,0,0,1,0,0,1.0
Alcon Express Inc,0,0,0,0,1,0,0,1.0
Uasluxury1 Inc,0,0,0,0,1,0,0,1.0
"Ezra Car Service, Inc.",0,0,0,0,1,0,0,1.0
Alpha Express Ride Corp.,0,0,0,0,1,0,0,1.0
Dunamis Care Car Service Corp.,0,0,0,0,1,0,0,1.0
Alianza Transportation Service Inc.,0,0,0,0,1,0,0,1.0
