Base Name,2015,2016,2017,2018,2019,2020,2021,Total
"New Golden Horse C/L Svc,Inc.",334208,396014,368201,365745,254542,142444,116547,1977701.0
Bee-Bee Car Service Inc.,156515,244597,176078,142640,411854,398015,367845,1897544.0
3210 Webster Av Prestige C/S,296728,597538,368315,262132,190370,89440,84604,1889127.0
B Q N C/S Corp,155248,591247,577654,226519,145106,109155,52632,1857561.0
High Class Bronx Limo C/S Corp,183887,620984,420451,266093,159353,110186,74481,1835435.0
Agape Luxury Corp.,62488,280893,362684,281233,306607,405045,129419,1828369.0
Seaman Radio Dispatchers Inc,268968,580827,380878,241930,152116,83655,59922,1768296.0
Best Deal Pvt C/S Inc,124590,248977,198500,228219,362692,292268,209228,1664474.0
Ny 88 Express Corp.,230192,361520,357923,341954,235974,82630,50813,1661006.0
Huang Hou Car Services Inc.,320375,369097,291552,256247,161742,59782,52480,1511275.0
La Mexicana Express Inc.,190547,444492,404514,290127,42585,18844,11392,1402501.0
Atlantic Car Svce,53035,318313,270011,235381,211246,148067,123076,1359129.0
First Class C/L Svc Corp,141811,395046,234326,207024,147822,130991,101438,1358458.0
Union Radio Dispatch Inc,272487,304979,283256,206890,112888,67318,61764,1309582.0
Brooklyn Rad Disp Inc,154422,217533,174506,99034,39444,349336,258424,1292699.0
"V.I.T. Car Service, Inc.",185968,283376,296498,217549,146646,77699,49466,1257202.0
Yellowstone Transportation Inc.,350026,321504,226100,195909,135085,19676,0,1248300.0
Xyz Two Way Radio,277284,246537,212009,183003,147800,69273,49163,1185069.0
Veterans Radio Dispatcher Corp.,193372,405998,311323,97473,85597,49221,33877,1176861.0
"Allstate Private Car & Limo,Inc",222918,121393,137885,204993,78740,234843,154193,1154965.0
Elite Limo Plus Inc,123090,142154,182930,253675,236730,97763,73866,1110208.0
Merengue Limo & C/S Inc,47950,141006,169672,140992,234392,179077,156380,1069469.0
New Lots C/S Inc,226846,277117,227118,164193,85148,53685,28117,1062224.0
Unicar Company Inc,120163,240848,204701,196320,140085,87670,66325,1056112.0
"Brunwish Enterprises,Ltd.",199442,285856,239431,179433,71610,29847,22738,1028357.0
Best Deal Black Inc.,0,0,33,93840,344365,331401,250431,1020070.0
"A.T.B. Car And Limousine Service, Inc.",91331,286587,283836,218172,71116,36940,25527,1013509.0
Super Class Radio Disp Inc,217063,223294,211341,109595,97882,103430,39797,1002402.0
New College Car Svce Inc,255139,224940,184152,133394,86563,70673,38699,993560.0
Diplo Rad Disp Inc,109366,273769,165648,124449,138623,94551,71322,977728.0
The New Brooklyn C/S Inc,118549,327860,207289,180529,47915,33291,25219,940652.0
Delancey Transportation Inc.,284089,206155,117895,94689,54450,67992,75269,900539.0
American Base No.1 Inc.,272593,222039,160020,90663,67009,42064,21291,875679.0
Groundanywhere Llc,85373,140080,189005,200016,196369,42837,0,853680.0
Fenix Premium Corp.,322348,327054,100949,47508,21500,3675,9629,832663.0
Fenix Xl Car And Limo Service Corp.,43190,185367,148939,132238,145793,79787,97223,832537.0
"Best Deal Car Service 2,Inc.",31490,49444,11565,74061,267596,216906,177215,828277.0
R C Audubon Svc Inc,136059,177187,173528,122308,88501,76692,53951,828226.0
New Laconia Rad Disp Inc,102438,282532,105886,118014,80549,80707,53990,824116.0
X Radio Dispatcher Inc.,2641,182304,291362,131997,75321,79192,53942,816759.0
Lucky Express Corporation,93391,167195,152466,153073,107224,38947,44113,756409.0
510 Car Service Corp,91928,278967,200523,77026,54648,29519,14205,746816.0
Brooklyn Rides Corp,309,23908,101568,153854,177106,163758,120494,740997.0
Apollo Radio Dispatch Inc.,116695,183041,132578,106115,99956,62303,37790,738478.0
Mexicana Car Service Inc.,106186,240251,167979,105770,56751,33576,24763,735276.0
Arecibo C/S Inc,138273,168673,253228,113671,36986,14965,8409,734205.0
"Vic & Bay Car Service, Inc",57142,144007,108449,87443,120722,124878,88636,731277.0
Ecuadoor Corp,64498,237090,168050,160853,53440,24330,14861,723122.0
High Class Limo Car Svce Corp,52891,205810,163830,111070,71645,51450,66103,722799.0
Broad Dyckman C/S Inc,144463,134280,140601,99206,105070,55379,41980,720979.0
Premium Bronx Corp,58175,201263,250281,42361,63188,57078,43099,715445.0
Dominicana Rad Disp Inc,138677,240519,130023,94867,85567,16017,3075,708745.0
"Concord Limousine 1, Llc",188364,195520,129807,99157,54328,25520,12951,705647.0
Kennedy Rad Disp Inc,162918,201770,124095,101503,40122,51262,23538,705208.0
El Barrio'S Car Service Llc,0,177445,154785,102957,109610,87879,70217,702893.0
Carey Limo N Y Inc,137297,122514,124288,133577,102310,42210,26309,688505.0
Utog 2-Way Radio Inc,60420,199179,136618,117290,87778,41458,33987,676730.0
Vital Transportation Inc.,131074,151293,131457,118398,79606,35104,21229,668161.0
Go Car Corp.,58451,104407,58926,32546,150405,147553,111029,663317.0
New Experience #1 Inc,196422,197244,103096,72270,48765,29845,0,647642.0
Cibao Radio Dispatch,68155,203098,162297,102861,66753,27826,13254,644244.0
"Eastern L.P.B.,Inc.",66469,177642,181541,132356,19709,37934,27465,643116.0
Alfred Holdings Inc.,334061,299605,2596,3232,908,1283,1098,642783.0
Premium Radio Disp & Multi Svc,40827,136224,218970,134471,61997,21801,23472,637762.0
City Line Car Service Inc,89710,205904,128101,100715,60284,29494,21871,636079.0
Nyc 2 Way International Ltd,116149,146907,114590,100725,24128,64395,46371,613265.0
810 Car Svce Corp,37806,217482,89908,81858,69180,52605,63000,611839.0
Inta-Boro Acres Inc,137445,130110,112247,94972,80608,36555,17923,609860.0
Transp Unlimited C/S,80649,133800,102907,88039,76759,58780,49697,590631.0
Eastland Black Cars Corp,0,0,10622,109480,267890,122838,77160,587990.0
"Riverside Plus Radio Dispatch, Inc.",55564,146665,118677,97301,87814,50033,30124,586178.0
Freedom Limo & Car Service,54939,166739,138002,122632,43899,42211,17623,586045.0
"Twr Car & Limo, Inc.",18904,51944,117911,113561,58905,150223,71338,582786.0
Ben Jevo Mgt. Inc.,41291,126625,86733,153440,14090,87545,66275,575999.0
Flamingo Transp. & Limo. Services Inc.,18634,135754,128198,121010,89199,38256,40469,571520.0
"49 Westchester Square Prestige Car Service, Corp.",69884,297928,120419,23209,14522,23394,20649,570005.0
Lakeview Cars Inc.,0,0,130938,228058,182337,3476,15087,559896.0
Empire International Ltd.,105430,129859,86782,97650,100716,20812,9884,551133.0
The Excellent C/S Inc,105371,167843,130186,140077,0,0,0,543477.0
Puebla Luxury Corp,0,64341,88246,109178,137381,74974,59300,533420.0
Joe M Leasing Corp,31524,119239,107934,95634,87595,50151,39952,532029.0
Alltown Limo Corp.,21723,129974,119236,118365,77239,33409,25716,525662.0
Church Ave C/S Inc,24194,176180,136598,108825,64144,8913,0,518854.0
Bell Car Svc Inc,38108,186293,90432,68061,67674,36701,28399,515668.0
Professional Car Service Inc,70442,99134,105630,97936,62559,34399,41117,511217.0
"Curb Transportation Services,Llc",0,0,0,0,112885,293653,102643,509181.0
"Park West Exec. Services, Inc.",123616,115228,92698,74112,58968,23745,8961,497328.0
Santo Domingo Car Limo Services Inc,109907,154838,75183,64545,49088,18363,7213,479137.0
Matamoros Car Service Inc.,17201,123884,102667,103471,65242,49863,12573,474901.0
New Bushwick Luxury Inc.,53260,111271,129798,85519,63628,20419,9415,473310.0
A & S Limousine Service Corp,17356,32143,196477,129311,57542,25675,12405,470909.0
Harlem Cars Inc.,69805,136608,122072,92756,36330,0,0,457571.0
Dv Luxury Transportation Corporation,34798,135359,103670,53258,57652,43429,25688,453854.0
Skyline Credit Ride Inc,0,22371,155825,158941,73389,15225,27836,453587.0
"Brothers Car Service, Inc.",12906,78288,94263,80934,62438,64338,57343,450510.0
Ny One Corp Car Inc,127200,96137,77939,63560,56741,19939,7056,448572.0
United Exp C/L Svce,72799,145589,103860,56109,30661,25730,11684,446432.0
Republica Car & Limo Service Corp.,39245,69548,79757,84823,75122,54899,41494,444888.0
Smile Transportation Group Inc,17734,49817,72450,95309,87108,58494,50063,430975.0
Lower East Side C/S Corp,68614,148410,106017,59559,26748,10173,7830,427351.0
New Black Luxury Cars Corp,0,85552,133085,117151,86326,1206,674,423994.0
Ny Minute Car Service Inc.,267,328,4715,134967,149884,98022,33209,421392.0
T & S Hillside Inc.,74770,96687,46796,69267,61166,38402,34281,421369.0
Asap Luxe Inc,5699,1163,1149,10608,8093,187952,203786,418450.0
Northside Bk Llc,56448,120726,96374,69041,40340,17333,16007,416269.0
Community Car Service Priscilla Corp,14607,90639,127974,105815,36837,21391,17475,414738.0
Exec Transport Inc,41579,95883,85541,88778,65494,19767,11941,408983.0
Dial Car Inc.,32339,90999,65552,79613,72170,34241,24307,399221.0
Mexicana High Class Inc.,72162,79449,69262,49318,45328,43542,32429,391490.0
"La Raza Car Service, Inc.",58980,127938,86923,66303,29819,8484,9597,388044.0
Seagull Ride Corp,5373,19708,82391,68476,73659,69579,68268,387454.0
Diane Car And Limo Service Llc,0,82209,102379,59707,72860,37778,30981,385914.0
Liberty Car Service Inc.,91411,159299,34487,53664,27030,9969,8829,384689.0
Harrison Global Llc,78646,93369,72971,58284,47102,15178,9790,375340.0
U.S.A. Limo. Inc.,80521,78640,72569,61970,56655,15178,7324,372857.0
New Heaven Radio Dispatch Corp,18692,65153,70950,85161,70289,37577,22781,370603.0
New Superior Radio Grp Corp,51034,96680,66131,54390,64415,20102,15401,368153.0
"Onix Transportation, Inc",0,514,34521,110497,115304,63540,25811,350187.0
Champion Car & Limo Svc. Inc.,16678,85993,79823,47153,61897,34310,22970,348824.0
Outside'S Car Service Inc.,0,8437,45744,79205,89017,74783,45946,343132.0
Surf Car Systems Inc,10268,123395,83256,43732,35714,24033,21689,342087.0
Bell Radio Inc,92178,67765,60503,54189,42816,17229,5608,340288.0
New Bell Car Service Corp,63304,74313,90850,46876,31794,20331,11322,338790.0
Gtwy Inc,55367,92063,46010,57462,43562,23762,15841,334067.0
910 Car Service Inc,48701,116393,97872,56287,7097,4162,3232,333744.0
A New Day Rad Disp Inc,111436,100985,66407,36749,10428,2724,885,329614.0
"New Storm Car Service, Inc.",27221,113523,86998,35707,0,37017,26610,327076.0
Bushwick Car Svce Inc,68545,133481,69663,45687,4148,2998,1425,325947.0
Bell Lx Inc,0,0,54323,97495,90949,46194,36684,325645.0
"Finest Car Service, Llc",2253,24011,80845,89090,36313,54517,32356,319385.0
"Winthrop Holding Of New York, Inc",20971,100930,66959,57106,37058,20990,8815,312829.0
Puerto Rico Car Service Inc.,29863,85912,103493,76572,8194,4229,2442,310705.0
Reagan Conveyance  Corp.,36436,61975,61190,59111,52462,17886,20196,309256.0
"79 Masada Iii, Inc.",964,5139,6878,53852,97217,74854,68782,307686.0
Baronas Luxury Ii Inc,78,8197,58924,98899,50574,61980,24938,303590.0
New Family Rad Disp Inc,50014,70573,86861,71283,17802,2626,3655,302814.0
Sdr Transportation Corp.,0,0,8636,102514,78202,72450,38871,300673.0
Munkacs Car Svc Ltd,48176,61158,57828,47297,38733,26012,21287,300491.0
Bensonhurst Ride Inc.,47463,72280,66033,51500,39454,12892,9812,299434.0
Love Corporate Car Inc,89701,66867,48663,38642,30822,11998,4377,291070.0
Big Apple Car Inc,94348,72915,49066,34198,25893,8218,4912,289550.0
440 Car Service Inc.,16451,123427,81364,37414,17874,9232,727,286489.0
"Reyno,Inc.",0,0,46519,95171,76430,37952,29979,286051.0
Cooperativa Clbna De Con Inc,26991,72618,76507,43881,34002,13574,15266,282839.0
"Central Car Services,Inc.",37560,97555,63700,25225,26952,16195,14766,281953.0
New Fat Inc.,69484,87573,56687,36125,10404,11225,4613,276111.0
"Super Fast Limousine Service, Inc.",29095,56783,42213,63439,45846,19488,17223,274087.0
U.P.S. Radio Dispatch Corp.,32979,164780,66966,5682,1128,0,0,271535.0
Natashas Grp Car Corp,62438,71022,41263,40676,30460,10947,12812,269618.0
"Rachel'S Car Service,Inc.",17022,65353,66457,69778,34682,14805,0,268097.0
"Ayy&M Transportation, Llc",5849,23805,42430,54084,56866,41000,40230,264264.0
T-D Maintenance,41601,50789,73358,41278,33691,12521,10150,263388.0
Communicar Incorporated,31039,68635,55102,47257,25700,16663,16682,261078.0
Church Avenue Express Inc,0,14320,23956,24931,21856,39727,135544,260334.0
J T Trans Co Inc,13142,29410,25614,72762,74193,27925,16725,259771.0
Tovar Transportation Inc,46156,72034,57584,27161,25916,17074,13469,259394.0
First Corporate Sedans Inc.,83412,121077,52964,0,0,0,0,257453.0
W.K. Car & Limo Service Inc,51609,74559,45082,40014,25725,8992,7635,253616.0
New York Apple Car Service Inc,20475,54819,54739,47929,28779,24392,22376,253509.0
La Morenita Car Limo Service Inc,71889,56346,50617,32224,24219,10904,6487,252686.0
Lil'D Dispatch Inc.,19062,33834,43720,42145,52423,31666,26256,249106.0
"Valera Global, Inc.",49503,48286,45413,41118,32456,16321,13480,246577.0
Evelyn Car Service Inc,55110,97020,27837,16885,35053,14145,0,246050.0
Clean Air Car Service And Parking Corp.,23837,46433,48733,45350,45425,20984,14578,245340.0
V.I.T. Black Car Transportation Corp.,0,12882,41042,50269,46529,51543,42841,245106.0
A Kings Hwy C/S Inc.,22645,56339,41863,12673,31937,40618,38670,244745.0
New Bell Luxury Corp,0,42915,36245,52288,47178,60452,5297,244375.0
Metro Luxury Inc,10223,39348,118942,28973,15019,13625,13515,239645.0
Blu-White Associated Transportation Service Inc,55174,78943,33200,20340,21479,22028,6715,237879.0
Bay Express Corp.,28900,59630,52991,31845,31390,18549,12837,236142.0
"Group Americar Transportation,Llc.",68639,55210,37015,31882,23001,10231,5222,231200.0
Flushing Limo Transp Corp,25836,104037,65832,35437,0,0,0,231142.0
Rego Park Express Inc.,23374,98127,56998,27909,19111,4241,0,229760.0
"Tel-A-Car Of New York, Llc",64892,57146,44895,31461,18749,6283,1789,225215.0
Sano Car Llc,0,14625,28804,82498,44805,37043,16126,223901.0
"Ocho Luxury Car, Inc.",162151,10057,10546,17934,11921,3669,7531,223809.0
"Reyno Car Svc, Inc.",27388,67558,42211,40799,21173,11454,12234,222817.0
"Royal Dispatch Services, Inc.",47034,56923,35979,30610,32383,11073,7252,221254.0
"Avalon Corporate Car,Inc.",48791,43380,39155,31580,25893,17815,13875,220489.0
Oceana Car And Limo,15574,62635,55491,40045,17162,14682,12960,218549.0
Nyc Wheels Car Service Inc.,2922,16517,62015,74599,50552,6960,3894,217459.0
"Guadalupana Car Limo, Inc",26939,62834,39001,13260,31535,19539,22033,215141.0
Shore Transportation Inc,11597,49266,60414,47047,25608,9283,9956,213171.0
Apple Radio Cars Inc,27451,63184,59574,20057,30545,9815,0,210626.0
T-D Maintenance Corp,43202,65820,37832,34619,12482,6891,6641,207487.0
Areas Transp Inc,17901,44304,36509,42476,40220,13901,8285,203596.0
Malcolm Limo Express Corp.,2618,7797,26936,73184,44250,23174,25305,203264.0
"Mazin  Car & Limo Svc., Llc",21040,116630,44293,11156,3384,2376,3680,202559.0
Guadalupana Ii Car & Limo Inc,4718,21889,30369,46021,52945,27387,18325,201654.0
Limo Seven Transportation Inc,0,10337,50207,46781,36383,45703,11694,201105.0
Bwj Group Inc,17191,75073,50481,47913,4791,4795,0,200244.0
The Metro Marine Car Service Inc,23383,25843,23673,41034,37803,23821,21354,196911.0
Mega Radio Dispatcher Inc,125126,70998,0,0,0,0,0,196124.0
Newtown Private Car Service Inc.,21556,45419,45779,40249,18734,20626,3159,195522.0
A & R Golden Exp Inc,6281,27361,44494,31289,36127,31625,17086,194263.0
Jaffa Car & Limo Svc Inc,33101,44540,30425,24977,30493,16608,14090,194234.0
Metro Car Service Corp.,26026,73290,48307,14582,16895,5198,6822,191120.0
Nymex Uno Executive Sedan'S Inc,17478,25933,30856,20963,24235,37871,32230,189566.0
Hoyt Limo & Service Corp.,0,0,0,0,22556,90218,75100,187874.0
Fleet Radio Dispatch Corp.,27551,29944,44538,36912,27024,9665,5178,180812.0
Avenue X Car Service Inc.,22589,35048,36542,13937,29338,23672,19264,180390.0
Nbt Transportation Inc,6267,12240,24899,129466,4708,2329,0,179909.0
New York Apple V.I.P. Corp,3304,4477,22175,15841,27621,50358,54090,177866.0
Rescue C/S Inc,23082,42907,39928,23219,24087,13537,10128,176888.0
Caprice Car Service No.2 Inc.,23299,69817,44527,38470,0,0,0,176113.0
Rockaway Vip Service Inc.,0,54316,44740,44071,14229,4615,14140,176111.0
"Chico Express Limo, Inc.",5433,29650,22985,19158,63327,21810,12275,174638.0
S.I. Speed Inc.,17122,26413,31556,51523,19252,11849,9215,166930.0
Rainbow Rad Disp Inc,12951,22586,35620,22019,17987,35337,20287,166787.0
"V.I.P. Connection, Inc.",8124,26119,35466,43700,34577,11780,6813,166579.0
Saeta Car Service Inc.,28835,27765,28073,31008,25269,13914,10126,164990.0
811 Transit Corp,914,3785,34867,43715,36760,30942,13898,164881.0
Bls Limo Svc Of Ny Inc,26838,21775,30956,31621,32656,9773,10990,164609.0
Nyc Star Limousine & Car Services Corp.,17752,76022,38415,7909,12486,5051,4440,162075.0
Xpress Transport & Multi Service Inc.,194,2629,25335,10528,91953,31360,0,161999.0
Art'S Place Inc.,20905,19587,28735,19449,44009,23512,4913,161110.0
Juniors Express Car Service Inc.,13446,18226,41980,32986,15738,16131,22562,161069.0
Ivoire Limo Inc.,85885,17624,8519,11855,13636,11324,12187,161030.0
Sunset Park Car Service Inc,24688,39786,33897,25241,17932,15118,3245,159907.0
Elal Car Limo Service Llc,6569,15392,22802,32150,29228,31316,21054,158511.0
Kiss Luxury Transportation Inc.,0,0,0,3012,33019,95216,26449,157696.0
Nesher Express Car Service 2 Inc.,32654,27963,17114,12664,17551,24667,24925,157538.0
Aguila Car & Limo Corporation,19413,31955,36865,9955,13304,23125,20948,155565.0
N.J.M.Inc.,10472,10944,19995,47171,37681,15763,13041,155067.0
New Generation Black Car Transportation Corp.,0,0,0,16974,47003,49124,40596,153697.0
Juniors Luxury Inc,2850,12592,39370,48373,19324,14554,16226,153289.0
Yours Car Service Inc,9956,21778,34413,46720,20547,7795,10798,152007.0
Concorde Exp Of N.Y. Inc,17433,35544,33246,29925,34355,0,0,150503.0
New Elegante Car Svc Inc,1493,63263,50115,21405,6460,4658,1616,149010.0
Ny Atlixco Car Service Inc,5505,23994,37621,33231,28821,11763,7318,148253.0
Caprice Car Service Corp.,0,0,0,20682,57096,35270,35203,148251.0
N.Y. Mexicana Car & Limo Svc Crp.,23513,24317,33774,33400,16804,9216,5132,146156.0
Flex Express Corp.,0,0,5922,51862,46728,22856,17858,145226.0
Rose 'N' Dale C/S Inc,33224,22531,30559,20488,19482,13442,4545,144271.0
St.Albans-Hollis Car Service Inc.,4077,15323,15731,11928,37887,33451,25421,143818.0
"Express 11 Car Service, Inc.",33069,50342,36755,19237,4299,0,0,143702.0
New American Class L/C Service Corp.,18327,26985,33266,49506,6399,6205,2617,143305.0
Li Yang Limousine Inc,0,834,18067,38294,37145,23449,24969,142758.0
Dls Transportation Corp.,0,617,6660,42123,39427,38669,13520,141016.0
"Friendly Best-Way Transportation, Inc.",7158,24964,26116,22972,14832,18574,24903,139519.0
Ben'S Luxury Car & Limousine Service Inc,14532,32119,25865,24696,24920,10922,5914,138968.0
"Golden Touch Transportation Of Ny, Inc.",74763,28093,5215,8912,10643,11109,0,138735.0
Celebrity Luxury Inc.,0,9919,57843,68570,772,600,181,137885.0
On Line Limousine Llc,39064,35434,32721,18342,9462,1361,0,136384.0
Charlie Black Car Inc.,14519,94095,27562,0,0,0,0,136176.0
Ville De La Liberte Chauffeur Inc,0,0,6191,26928,48349,31550,22881,135899.0
Puebla City Inc.,0,0,0,37187,52878,27184,18296,135545.0
Europe Limousine Service Inc,16852,14728,20195,22288,33174,14398,10491,132126.0
"New Jubilee Car Service, Inc.",16185,34191,39759,26055,15525,0,0,131715.0
Llama Limo C/S Corp,18246,27327,12673,21928,20470,13054,16583,130281.0
All City Corp Trans Inc,32019,23254,17654,14584,14299,15505,12472,129787.0
Metropolitan Multiplex Car Service Corp.,21670,56467,31867,8268,8338,2739,389,129738.0
American Limousine Llc,5292,5720,7836,36455,59088,10474,4555,129420.0
Fast City Car & Limo Svc Inc.,0,10441,23717,17766,40032,15527,21664,129147.0
"Preferred Care Transportation Service,Inc",9477,17419,24127,31218,26043,11573,6964,126821.0
"Alpine Limousine Service, Inc.",23668,0,19764,33876,22200,19236,7507,126251.0
"Cheers Dispatch,Inc.",5,19308,21523,24711,27599,17841,15182,126169.0
Chico Express Corp. 2,16114,21896,40827,40499,3476,2114,1017,125943.0
New App Car & Limo Inc,1602,1606,11693,21781,26027,26069,35561,124339.0
Gotham Car Service Inc.,5547,14442,7467,5894,48194,18316,23084,122944.0
Old Town Cars Corp,8132,15584,29296,32115,27470,10087,0,122684.0
Dv Luxury Car Service Inc,0,10627,19958,19518,34672,24017,13794,122586.0
Curb Transportation Services Llc.,14113,33244,30662,5447,0,16721,22320,122507.0
Afro Car Service Corp,2925,11311,26110,15446,18353,26165,20032,120342.0
Summit Corporate Car Inc.,33326,23747,22497,19517,12629,5896,2729,120341.0
Fone-A-Car Inc,42907,27590,15526,13038,9913,4978,3617,117569.0
Belle-Rock Of Beach Channel Inc.,14853,22672,28534,24222,17817,2372,6740,117210.0
Ambar Transportation Inc.,0,0,0,2198,42081,44483,28195,116957.0
Tri-County Black Cars Inc,0,0,16705,27222,27452,22885,21364,115628.0
Legend Luxury Limo Inc.,9966,23578,34619,42001,2995,1096,1166,115421.0
Flyte Line Transportation Llc,0,9082,28167,43793,26775,5876,1289,114982.0
7 Ocean Express Inc.,9867,31291,41672,26558,3691,1103,633,114815.0
Planet Limousine Llc,22450,32523,21782,18414,11810,4446,1974,113399.0
"Commonwealth Worldwide Chauffeured Transp. Of Ny,",32160,21106,21859,12300,23838,0,0,111263.0
"All Star Limousine Service, Ltd.",24395,12317,20368,24049,20375,5436,3966,110906.0
Classic Car Service Corp.,0,17012,28399,23307,20731,8477,12907,110833.0
Globe Car Service Inc,27262,30469,18216,14725,13285,4036,2217,110210.0
A B C Shuttle Services Corporation,1,202,7009,1396,44336,28132,27976,109052.0
International Car Service Inc.,11024,19692,10815,7740,20069,20432,18852,108624.0
Ace C/L Svce Inc,28629,23380,19124,18028,13221,4037,1861,108280.0
Morenita Express Car Service Inc.,70076,5206,10488,13415,8554,0,0,107739.0
Pak-Eagle Inc.,19003,34364,23332,18488,4761,2236,3899,106083.0
Gallant Luxury Service Corp.,4,2043,19897,58166,14439,7336,3898,105783.0
"T.J.Q. Car Service, Inc.",24565,16871,26883,20349,10615,3042,2755,105080.0
"Optimum Car & Limo, Inc.",21608,20806,14949,12848,4698,21295,8719,104923.0
"Sts Luxury, Inc",0,0,1317,24582,36992,24267,16883,104041.0
Mic-Lou Car Services_Llc,14253,15128,20838,27114,0,13868,11921,103122.0
Forever Blue Car Service Inc.,0,2661,51225,27200,18243,3385,0,102714.0
Mexico La  New Poblanita Express Inc.,11268,39923,47513,3435,0,0,0,102139.0
Music Express/N.Y. Inc,28979,8102,22811,12583,17581,6086,4797,100939.0
Dreamland Car & Limo.Svc Inc.,219,15297,38140,33189,13677,0,299,100821.0
Five Star,0,21823,23434,14608,14466,16220,8843,99394.0
Eco Ride Inc.,7507,7116,18294,23778,21894,12226,6873,97688.0
Trelawny Car Service Inc,76,20379,29862,34533,12409,0,0,97259.0
New Mexicana Car Service Ii Inc.,35953,15948,10613,16130,11173,543,6211,96571.0
Jamaica Express Car Service Inc.,15277,15585,22475,23300,13846,3178,2892,96553.0
Rocapulco Car Service Inc.,6606,26242,34259,26840,0,143,2436,96526.0
Kj Transportation,13446,42890,27666,12259,0,0,0,96261.0
Azuay Corporation,7728,12011,19811,27169,16845,6747,3996,94307.0
Explorer Express Inc,0,0,10229,24934,22657,20279,15377,93476.0
Myle Worldwide Inc,0,0,0,0,0,18622,73829,92451.0
Rpo Car And Limousine Service Inc.,16592,13873,18908,19812,14347,4410,4322,92264.0
Easyride Car Service Inc.,13715,21369,15825,6082,17137,11484,6124,91736.0
Aventine Auto Rental Inc,17921,16256,18622,4268,23157,8351,2945,91520.0
Highland Transportation Management Corp.,0,0,0,0,5586,42065,43222,90873.0
Flushing Limousine Transportation Service Corp.,0,0,0,0,0,37812,51575,89387.0
Olympia Operating Car Service Of Ny Corp.,5521,19299,11985,15211,16423,11263,8322,88024.0
Showtime Transportation Corp.,1769,16519,20442,18100,13519,11071,5376,86796.0
Marlboro Car Service Inc.,4715,5968,3711,13530,37274,13881,6702,85781.0
Cozy Ride Limousine Inc,7587,21122,26264,13034,11950,3056,2429,85442.0
"Vee Cee Limousine Service, Inc",26074,21587,23925,13000,743,0,0,85329.0
Genesis Luxury Transportation Corp.,0,0,0,17756,54729,4441,7823,84749.0
"Mtc Limousine & Corporate Coach,Inc.",13787,14815,21142,18552,16233,0,0,84529.0
Rechev Of Brooklyn Inc,3733,8149,20102,17811,17958,7498,9116,84367.0
P J Car Svce,18740,28599,24224,10468,92,165,0,82288.0
"Polo Limousine, Corp.",11625,14041,16476,13737,12137,6016,7888,81920.0
Groundlink Holdings Llc,32311,28563,13093,7209,0,0,0,81176.0
"H & B Car And Limousine, Inc",4087,18675,31409,10177,9865,3413,3271,80897.0
Gds Transportation Corp.,0,24463,26209,16420,10550,2685,462,80789.0
Golden-Town Car & Limousine Service Inc.,10214,19287,10070,8059,4432,3382,25276,80720.0
London Towncars Inc,18955,11899,17006,13336,12144,3828,3012,80180.0
Mariachi Car Service Inc,0,16322,17926,33349,2926,6083,2950,79556.0
The Option Transportation Corp.,15028,3219,526,19593,26755,14339,0,79460.0
Sfl Inc,4239,12292,17273,23572,11122,5815,4060,78373.0
"Picture Properties, Inc.",0,7045,14409,56776,0,0,0,78230.0
Americana Transportation Llc,10800,12704,12610,12036,12630,8931,8409,78120.0
Good Friends Car Service Inc,0,0,0,0,2402,28509,46500,77411.0
Kingsdale Dispatch Inc,13976,19672,10337,11092,11589,4262,5808,76736.0
Wakefield Lsg Maint Corp,3025,22825,20813,13929,8325,5801,1763,76481.0
First Class Luxury Inc,0,15777,18352,13719,13472,7900,6810,76030.0
Imperium Trans Group Inc,0,0,0,0,53314,20171,2444,75929.0
185 Malta Car Service Llc,6083,17545,14872,10173,2612,8917,15661,75863.0
Puerto Rico Express Black Luxury Inc,0,11666,15902,18221,10791,9359,9318,75257.0
Presidential Luxury Limo Inc.,3990,14083,16612,17727,12444,4265,5351,74472.0
Royal Car & Limo Service Inc.,11699,31002,10624,9676,6264,3405,1369,74039.0
Delince Car Livery Service Corp.,2220,11273,32897,27064,0,0,0,73454.0
"Novak Global, Inc.",29800,5680,16363,13695,4326,1497,1764,73125.0
Double A Car Service Inc.,32375,0,7884,19116,8691,1542,2555,72163.0
V.J. Car & Limo Svc Inc.,11599,23435,19545,9186,2261,2745,3372,72143.0
"Bel-Linda, Inc",0,0,0,26131,3626,16613,25031,71401.0
Advanced Luxury Limo Svc. Inc.,0,11810,31252,19699,6435,1407,746,71349.0
Mega Car Svce Corp,0,70523,0,0,0,0,0,70523.0
Atlantis Transportation Services Inc,0,0,6552,24599,19153,13657,6404,70365.0
Monaco Limo & Car Services Inc.,12543,16666,25175,15936,0,0,0,70320.0
Division Car & Limo Inc.,8018,8982,14539,14211,13345,6166,4726,69987.0
"Castle Car Service, Inc",3354,24935,16067,9437,7036,5446,3611,69886.0
Fenix Mobile Dispatchers Ltd,5335,19912,16779,6315,12347,5147,3161,68996.0
Ridge Transportation Corp.,24082,26594,18299,0,0,0,0,68975.0
Epic Car Service Inc.,0,0,0,2178,32549,17192,16987,68906.0
Accuelimo Luxury Llc,23146,22406,19635,3618,0,0,0,68805.0
Luxor Limo Inc,12585,16275,13167,15171,11160,0,0,68358.0
George Town Management Inc,4706,14017,13645,15705,10683,7035,2462,68253.0
